url,name,country,language,topic_hint,status,resolved_url,notes
https://www.bankofengland.co.uk/rss/publications,Bank of England - Research,United Kingdom,en,UK Institutions,ok,https://www.bankofengland.co.uk/rss/publications,
https://obr.uk/feed/,Office for Budget Responsibility,United Kingdom,en,UK Institutions,ok,https://obr.uk/feed/,
https://www.ons.gov.uk/feed?format=atom,ONS (Office for National Statistics),United Kingdom,en,UK Institutions,dead,https://www.ons.gov.uk/feed?format=atom,"Client error '404 Not Found' for url 'https://www.ons.gov.uk/feed?format=atom'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.resolutionfoundation.org/feed/,Resolution Foundation,United Kingdom,en,UK Think Tanks,ok,https://www.resolutionfoundation.org/feed/,
https://ifs.org.uk/publications/feed,Institute for Fiscal Studies,United Kingdom,en,UK Think Tanks,dead,https://ifs.org.uk/publications/feed,"Client error '403 Forbidden' for url 'https://ifs.org.uk/publications/feed'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://www.niesr.ac.uk/feed,National Institute of Economic and Social Research,United Kingdom,en,UK Think Tanks,redirected,https://niesr.ac.uk/feed,
https://blogs.lse.ac.uk/politicsandpolicy/feed/,LSE British Politics & Policy Blog,United Kingdom,en,UK Think Tanks,ok,https://blogs.lse.ac.uk/politicsandpolicy/feed/,
https://politepaul.com/fd/Okb1cDoeXAKg.xml,LSE CEP,United Kingdom,en,UK Think Tanks,dead,https://politepaul.com/fd/Okb1cDoeXAKg.xml,"Client error '404 Not Found' for url 'https://politepaul.com/fd/Okb1cDoeXAKg.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://fabians.org.uk/feed/,Fabian Society,United Kingdom,en,UK Think Tanks,ok,https://fabians.org.uk/feed/,
https://www.adamsmith.org/blog/rss.xml,Adam Smith Institute,United Kingdom,en,UK Think Tanks,redirected,https://www.adamsmith.org/blog?format=rss,
https://www.bruegel.org/rss.xml,Bruegel,Europe (Western),en,EU-Wide Sources,ok,https://www.bruegel.org/rss.xml,
https://cepr.org/rss/vox-content,VoxEU,Europe (Western),en,EU-Wide Sources,ok,https://cepr.org/rss/vox-content,
https://www.socialeurope.eu/feed,Social Europe,Europe (Western),en,EU-Wide Sources,ok,https://www.socialeurope.eu/feed,
https://euobserver.com/rss,EUobserver - Economy,Europe (Western),en,EU-Wide Sources,redirected,https://euobserver.com/feed/,
https://www.politico.eu/feed/,Politico Europe,Europe (Western),en,EU-Wide Sources,ok,https://www.politico.eu/feed/,
https://www.euractiv.com/feed/,EurActiv,Europe (Western),en,EU-Wide Sources,dead,https://www.euractiv.com/feed/,"Client error '403 Forbidden' for url 'https://www.euractiv.com/feed/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://www.theparliamentmagazine.eu/rss.xml,The Parliament Magazine,Europe (Western),en,EU-Wide Sources,dead,https://www.theparliamentmagazine.eu/rss.xml,"Client error '404 Page Not Found' for url 'https://www.theparliamentmagazine.eu/rss.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.ecb.europa.eu/rss/press.html,European Central Bank - Press Releases,Europe (Western),en,EU Institutions,ok,https://www.ecb.europa.eu/rss/press.html,
https://www.ecb.europa.eu/rss/wppub.html,European Central Bank - Research,Europe (Western),en,EU Institutions,ok,https://www.ecb.europa.eu/rss/wppub.html,
https://ec.europa.eu/economy_finance/rss/economy_en.rss,European Commission - Economic News,Europe (Western),en,EU Institutions,dead,https://ec.europa.eu/economy_finance/rss/economy_en.rss,"Client error '404 (Not Found)' for url 'https://ec.europa.eu/economy_finance/rss/economy_en.rss'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://ec.europa.eu/eurostat/web/rss,Eurostat - News Releases,Europe (Western),en,EU Institutions,dead,https://ec.europa.eu/eurostat/web/rss,no entries found and no feed link discovered
https://cepr.org/rss.xml,CEPR,Europe (Western),en,EU Institutions,ok,https://cepr.org/rss.xml,
https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,European Parliament - News,Europe (Western),en,EU Institutions,ok,https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,
https://www.europarl.europa.eu/rss/topic/907/en.xml,European Parliament - Economics,Europe (Western),en,EU Institutions,ok,https://www.europarl.europa.eu/rss/topic/907/en.xml,
https://www.handelsblatt.com/contentexport/feed/schlagzeilen,Handelsblatt Global,Europe (Western),de,Germany,redirected,https://feeds.cms.handelsblatt.com/schlagzeilen,
https://rss.dw.com/rdf/rss-en-bus,Deutsche Welle - Business,Europe (Western),en,Germany,ok,https://rss.dw.com/rdf/rss-en-bus,
https://www.bundesbank.de/service/rss/en/633306/feed.rss,Bundesbank - Press Releases,Europe (Western),de,Germany,ok,https://www.bundesbank.de/service/rss/en/633306/feed.rss,
https://www.ifo.de/en/rss/presse.xml,Ifo Institute,Europe (Western),de,Germany,dead,https://www.ifo.de/en/rss/presse.xml,"Client error '404 Not Found' for url 'https://www.ifo.de/en/rss/presse.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.lemonde.fr/economie/rss_full.xml,Le Monde - Economie,Europe (Western),fr,France,ok,https://www.lemonde.fr/economie/rss_full.xml,
https://www.france24.com/en/rss,France 24 - Economy,Europe (Western),fr,France,ok,https://www.france24.com/en/rss,
https://feeds.elpais.com/mrss-s/pages/ep/site/english.elpais.com/portada,El País - Economy,Europe (Western),es,Spain,ok,https://feeds.elpais.com/mrss-s/pages/ep/site/english.elpais.com/portada,
https://www.elconfidencial.com/rss/economia.xml,El Confidencial,Europe (Western),es,Spain,redirected,https://rss.elconfidencial.com/economia/,
https://www.corriere.it/rss/economia.xml,Corriere della Sera - Economy,Europe (Western),it,Italy,ok,https://www.corriere.it/rss/economia.xml,
https://www.nrc.nl/rss/,NRC Handelsblad,Europe (Western),nl,Netherlands,ok,https://www.nrc.nl/rss/,
https://www.dnb.nl/en/rss/,De Nederlandsche Bank,Europe (Western),nl,Netherlands,dead,https://www.dnb.nl/en/rss/,no entries found and no feed link discovered
https://www.riksbank.se/en-gb/rss/,Riksbank (Sweden) - News,Europe (Western),sv,Nordics,dead,https://www.riksbank.se/en-gb/rss/,no entries found and no feed link discovered
https://www.norges-bank.no/en/rss/,Norges Bank - News,Europe (Western),no,Nordics,dead,https://www.norges-bank.no/en/rss/,"Client error '404 Not Found' for url 'https://www.norges-bank.no/en/rss/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.suomenpankki.fi/en/rss/,Bank of Finland,Europe (Western),fi,Nordics,dead,https://www.suomenpankki.fi/en/rss/,"Client error '404 Not Found' for url 'https://www.suomenpankki.fi/en/rss/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.copenhageneconomics.com/feed/,Copenhagen Economics,Europe (Western),en,Nordics,redirected,https://copenhageneconomics.com/feed/,
https://www.snb.ch/en/rss/rssnews.xml,Swiss National Bank,Europe (Western),de,Switzerland,dead,https://www.snb.ch/en/rss/rssnews.xml,"Client error '404 Not Found' for url 'https://www.snb.ch/en/rss/rssnews.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://wbj.pl/feed/,Warsaw Business Journal,Europe (Eastern/Central),en,news,dead,https://wbj.pl/feed/,"Client error '404 Page not exists' for url 'https://wbj.pl/feed/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
https://www.praguemonitor.com/feed/,Prague Morning,Europe (Eastern/Central),en,news,redirected,https://praguemonitor.com/feed/,
https://bbj.hu/feed/,Budapest Business Journal,Europe (Eastern/Central),en,news,ok,https://bbj.hu/feed/,
https://kyivindependent.com/category/economy/feed/,Kyiv Independent - Economy,Europe (Eastern/Central),en,news,discovered,https://kyivindependent.com/news-archive/rss/,found via homepage <link rel=alternate>
https://www.euractiv.com/sections/central-europe/feed/,Euractiv Central & Eastern Europe,Europe (Eastern/Central),en,news,dead,https://www.euractiv.com/sections/central-europe/feed/,"Client error '403 Forbidden' for url 'https://www.euractiv.com/sections/central-europe/feed/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
https://emerging-europe.com/feed/,Emerging Europe,Europe (Eastern/Central),en,news,ok,https://emerging-europe.com/feed/,
https://www.intellinews.com/rss/,bne Intellinews,Europe (Eastern/Central),en,news,discovered,https://www.intellinews.com/feed/,found via homepage <link rel=alternate>
https://www.baltictimes.com/rss/news/,Baltic Times,Europe (Eastern/Central),en,news,dead,https://www.baltictimes.com/rss/news/,no entries found and no feed link discovered
https://www.romania-insider.com/feed/,Romanian Insider,Europe (Eastern/Central),en,news,redirected,https://www.romania-insider.com/feed,
https://rss.nytimes.com/services/xml/rss/nyt/Business.xml,New York Times - Business,United States,en,Major US News,ok,https://rss.nytimes.com/services/xml/rss/nyt/Business.xml,
https://rss.nytimes.com/services/xml/rss/nyt/Economy.xml,New York Times - Economy,United States,en,Major US News,ok,https://rss.nytimes.com/services/xml/rss/nyt/Economy.xml,
https://feeds.washingtonpost.com/rss/business,Washington Post - Business,United States,en,Major US News,ok,https://feeds.washingtonpost.com/rss/business,
https://rss.app/feeds/9fSoShIXTLIR40J5.xml,Reuters - Business,United States,en,Major US News,dead,https://rss.app/feeds/9fSoShIXTLIR40J5.xml,"Client error '402 Payment Required' for url 'https://rss.app/feeds/9fSoShIXTLIR40J5.xml'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402"
https://rss.app/feed/X3b3gLbcmBVmxTzR,Reuters - Economy,United States,en,Major US News,dead,https://rss.app/feed/X3b3gLbcmBVmxTzR,no entries found and no feed link discovered
https://rss.app/feed/VdzGLA9PpqxUvPoQ,Reuters – Markets,United States,en,Major US News,dead,https://rss.app/feed/VdzGLA9PpqxUvPoQ,no entries found and no feed link discovered
